target,Ebeam,Eprime,theta,xB,Q2,sigma_born,sigma_born_in,sigma_born_qe,sigma_rad,sigma_rad_el,sigma_rad_qe,sigma_rad_dis,coulomb_factor,dis_rc_factor,dis_rc_factor_err
Sn,10.5,7.572,7.297,0.2344,1.2878,39682.0,39663.0,19.23,39683.0,0.12915,502.63,39180.0,1.0,0.9999748002923166,0.0
Sn,10.5,6.841,8.85,0.2491,1.7104,14575.0,14572.0,3.5111,14766.0,0.041092,140.83,14625.0,1.0,0.9870648787755655,0.0
Sn,10.5,5.317,11.91,0.2471,2.4036,3368.4,3368.0,0.36804,3595.7,0.021922,31.617,3564.0,1.0,0.9367856050282283,0.0
Sn,10.5,3.185,18.51,0.2521,3.4601,520.29,520.26,0.020961,614.15,0.0086468,10.745,603.39,1.0,0.8471708865912236,0.0
Sn,10.5,2.133,26.11,0.2911,4.5711,145.02,145.01,0.0017812,180.47,0.00096705,5.6885,174.78,1.0,0.8035684601318779,0.0
Sn,10.5,7.955,7.632,0.3099,1.4799,32485.0,32489.0,-3.5104,30720.0,0.0060867,357.37,30362.0,1.0,1.0574544270833333,0.0
Sn,10.5,7.679,8.523,0.3364,1.7809,17370.0,17372.0,-2.9194,16371.0,0.0014372,157.47,16213.0,1.0,1.0610225398570643,0.0
Sn,10.5,6.846,10.49,0.3504,2.4028,5550.3,5550.8,-0.44852,5323.4,0.00038622,35.353,5288.0,1.0,1.0426231355900366,0.0
Sn,10.5,4.998,15.03,0.3478,3.5906,966.78,966.79,-0.01133,978.47,0.00015457,5.2903,973.18,1.0,0.9880527762731611,0.0
Sn,10.5,3.109,22.39,0.3549,4.922,187.58,187.58,-0.00053291,203.92,5.2365e-05,2.0838,201.83,1.0,0.9198705374656729,0.0
Sn,10.5,7.315,10.56,0.4353,2.6017,4453.8,4453.7,0.19707,4077.6,1.084e-05,30.144,4047.5,1.0,1.0922601530311948,0.0
Sn,10.5,6.308,13.46,0.4625,3.6385,1120.1,1120.0,0.082947,1041.7,1.201e-06,5.0321,1036.7,1.0,1.0752615916290678,0.0
Sn,10.5,4.513,19.17,0.4678,5.2553,208.55,208.55,0.0027754,203.06,2.9614e-07,0.79324,202.27,1.0,1.0270363439377523,0.0
Sn,10.5,3.272,25.74,0.5027,6.818,53.415,53.413,0.0016229,53.598,2.4641e-08,0.28432,53.314,1.0,0.996585693496026,0.0
Sn,10.5,6.581,14.16,0.571,4.199,544.49,543.66,0.83147,486.29,5.689e-09,3.4489,482.84,1.0,1.1196816714306277,0.0
Sn,10.5,5.655,17.35,0.5943,5.4032,168.6,168.43,0.16978,152.73,6.7216e-10,0.77429,151.95,1.0,1.1039088587703791,0.0
Sn,10.5,4.217,23.5,0.623,7.3449,35.184,35.164,0.020635,32.797,4.3722e-11,0.13347,32.664,1.0,1.072781047046986,0.0
